address,city,country,,,,,,,latitude,,longitude,,,property_name,,,,room_count,room_type,similar_hotel,,,,sitename,special_tag,state,uniq_id,zone
"At Post Ganpatipule, Prachin Konkan Road, 415615 Ganpatipule, India – Show map",ganpatipule,India,,,,,,,17.14958281,,73.27330068,,,Center Point Residency,,,,8,Budget Double Room,Yash Garden Residency,,,,http://www.booking.com/,Share,Maharashtra,43a188c462d1156ff79fe3e5803ddd0a,
"NH 49, Kochi - Madurai, Iruttukanam Near Elephant Camp, 685561 Munnar, India – Great location -",munnar,India,,,,,,,10.01809106,,77.01049492,,,Mistletoe Homestay & Cafe,,,,5,Deluxe Double Room with Extra Bed,Green Magic Home,,,,http://www.booking.com/,Share,Kerala,58aa8bba704b4d05937cc02945c497c7,
,gurgaon,India,,,,,,,28.45279485,,77.04236761,,,,,,,,Deluxe Double Room with Extra Bed,,,,,http://www.booking.com/,,Haryana,407dd30684b8495e8d858dd35c4a2aad,
"Keerikara PO,Thekkady keerikara, 685533 Vandiperiyār, India – Show map",vandiperiyār,India,,,,,,,9.612581256,,77.06952496,,,Harithavanam Farm House,,,,4,Deluxe Room,Chillax Vagamon,,,,http://www.booking.com/,Share,Kerala,0fed77f6aba71ad44a2f1e93f6ce2f43,
"92 Barog, District Solan, National Highway, 173211 Solan, India – Show map",solan,India,,,,,,,30.88878834,,77.07588672,,,Ellays Dream Resort,,,,10,Standard Double Room,Snow Valley Resorts|Hotel Sai|Torrentium Lodge,,,,http://www.booking.com/,Share,Himachal Pradesh,6c7f385d9d44f9c30bb2d0a8b33e38fa,
"8433, Arya Nagar, Street No. 1, Behind Bank Of India, Pahar Ganj, Paharganj, 110055 New Delhi, India – This neighbourhood is a great choice for travellers interested in city trips, sightseeing, and shopping – Check location Show map",new delhi,India,,,,,,,28.64556081,,77.21303657,,,Swisston Inn,,,,27,Budget Double Room,Hotel Sita International,,,,http://www.booking.com/,Share,Delhi NCR,39b7cae5995290c5b6ce7943324a6fe6,Paharganj
"Kasturba Road, Near Matheran Market, 410102 Mātherān, India – Great location -",mātherān,India,,,,,,,18.98533639,,73.26979637,,,Hotel Premdeep,,,,15,Deluxe Single Room,Nakshatra Residency,,,,http://www.booking.com/,Share,Maharashtra,e914e1fc861cfaf9fba1d19746b10074,
"Sun Acre Ketti-Palada Road, 643215 Ketti, India – Show map",ketti,India,,,,,,,11.36269936,,76.72899641,,,The Clive and Curzon,,,,16,Superior Queen Room,Hanging Huts Resorts|The Gateway Hotel Coonoor|Hill Country Lovedale,,,,http://www.booking.com/,Share,Tamil Nadu,4fe768fd574314004e274e435b0d4f8e,
,jaipur,India,,,,,,,26.91543149,,75.70621043,,,,,,,,Superior Queen Room,,,,,http://www.booking.com/,,Rajasthan,4e117c2bb434b3fc09efee257e379057,
,ganeshgudi,India,,,,,,,15.33834972,,74.51422047,,,,,,,,Deluxe Single Room,,,,,http://www.booking.com/,,Karnataka,5a106afbcc3efbb1c54fc78849fc476f,
"10 Duraisamy Reddy Street West Tambaram near passport office, 600045 Tambaram, India – Show map",tambaram,India,,,,,,,12.92966874,,80.1198256,,,Grand Parkway,,,,29,Deluxe Twin Room,Hotel Maruthi Residency|Savera Hotel|Paramount Inn,,,,http://www.booking.com/,Share,Tamil Nadu,67f1701cdae5a4f8bd02334030fa3022,
"Ring Road, Laxminagar, 415523 Phaltan, India – Show map",phaltan,India,,,,,,,17.98374349,,74.43491925,,,Hotel Aaryamaan,,,,22,Deluxe King Suite,,,,,http://www.booking.com/,Share,Maharashtra,cd5c6f504a77c63c23734049f67dc99b,
"8177/8178, Arakashan Road, Pahar Ganj, New Delhi, Delhi 110055, Paharganj, 110055 New Delhi, India – This neighbourhood is a great choice for travellers interested in city trips, sightseeing, and shopping – Check location Show map",new delhi,India,,,,,,,28.6458456,,77.21589301,,,White House Tourist Lodge,,,,21,Deluxe Double Room,Hotel Sai International|Rams Inn|Stops Hostel Delhi,,,,http://www.booking.com/,Share,Delhi NCR,ee477db544e723c91d81e52cc9586c55,Paharganj
"TC 68/1883-1 Koprapura Road, Pachalloor Bye Pass, 695027 Tiruvallam, India – Show map",tiruvallam,India,,,,,,,8.427137365,,76.96108192,,,Oceana Homestay,,,,2,Deluxe Double Room,Vijaya Varma Beach Resort,,,,http://www.booking.com/,Share,Kerala,538274ff1e5ddd70b41282e2cd784271,
"Opp. C.I.M.F.R. Surya Vihar Colony, Bartand, 826001 Dhanbād, India – Show map",dhanbād,India,,,,,,,23.81106407,,86.43330068,,,Hotel S G International,,,,24,Deluxe Room,Hotel Cocoon,,,,http://www.booking.com/,Share,Jharkhand,96a57c5bb03d539db6d6a919b2f89e0e,
"Jaisalkot Kuldhara Turn, Off Sam Road, Jaisalmer, Rajasthan, 345001 Dedha, India – Show map",dedha,India,,,,,,,26.90747431,,70.79060349,,,Hotel Jaisalkot,,,,50,Family Suite,,,,,http://www.booking.com/,Share,Rajasthan,d64f14a7451802d4fc347ba80a9f6d01,
"Bypass Road, Tharakandam Complex, Chottanikkara Mulanthuruthy Rd,Thrippunithura, 682312 Chottanikara, India – Show map",chottanikara,India,,,,,,,9.932860567,,76.38895065,,,Lotus Tourist Home,,,,2,Budget Double Room,Indraprastha Residency,,,,http://www.booking.com/,Share,Kerala,ca8103b4e3612fafc4fd1c2772d7a0da,
"8433, Arya Nagar, Street No. 1, Behind Bank Of India, Pahar Ganj, Paharganj, 110055 New Delhi, India – This neighbourhood is a great choice for travellers interested in city trips, sightseeing, and shopping – Check location Show map",new delhi,India,,,,,,,28.64556081,,77.21303657,,,Swisston Inn,,,,27,Budget Double Room,Hotel Sita International,,,,http://www.booking.com/,Share,Delhi NCR,9ded3231fc80823a0e4dd775151323ee,Paharganj
"313/B,Shindewadi,milkat no.594 Next to neera River, 412801 Shirwal, India – Show map",shirwal,India,,,,,,,18.17251575,,73.95371625,,,Hotel Vegas,,,,23,Premium Double Room,,,,,http://www.booking.com/,Share,Maharashtra,e8d5d3f0fc6ada88e4f535c6f129f9ee,
"92 Barog, District Solan, National Highway, 173211 Solan, India – Show map",solan,India,,,,,,,30.88878834,,77.07588672,,,Ellays Dream Resort,,,,10,Standard Double Room,Snow Valley Resorts|Hotel Sai|Torrentium Lodge,,,,http://www.booking.com/,Share,Himachal Pradesh,e52984ad3d8aaab5c1e8e445cba7cb0a,
"Jaipur Road, Opp. Traffic Police Thana, Hanumangarh Town, 335513 Hanumāngarh, India – Show map",hanumāngarh,India,,,,,,,29.58192471,,74.3230167,,,Singla Hotel,,,,14,Deluxe Room,,,,,http://www.booking.com/,Share,Rajasthan,1ceed77df41658648c5315d8e7550845,
"No 66, Gokulam Road, Jayalakshmipuram Near BM Habitat Mall, 570012 Mysore, India – Show map",mysore,India,,,,,,,12.32164937,,76.62168807,,,Mangrove Suites,,,,15,Superior Twin Room,National Residency|Southern Star,,,,http://www.booking.com/,Share,Karnataka,f9f9954e0b334a51c81271ce8bad194c,
"Plot No.53, Sector - A, Canal South Road, Metropolitan Byepass, 700105 Kolkata, India – Show map",kolkata,India,,,,,,,22.55942658,,88.39889824,,,The Broadstreet Broadway Metropolitan,,,,3,Deluxe Single Room,Ghosh Guest House,,,,http://www.booking.com/,Share,West Bengal,5bc5189a52fb9ae80e4db6187b3e8e4e,
"Kodiyat Road, Near Ananta resort and Spa, 313001 Udaipur, India – Great location -",udaipur,India,,,,,,,24.57135833,,73.62560514,,,Atulya Niwas,,,,39,Deluxe Double Room,Udai Kothi|Madri Haveli,,,,http://www.booking.com/,Share,Rajasthan,bc992cd3c90fd78fdbd67c16e5289da3,
"59 Sathiya Sai Nagar Lovedale, 643003 Coimbatore, India – Show map",coimbatore,India,,,,,,,10.99420123,,76.98805839,,,Glen View Home Stay,,,,8,Standard Double Room,Treebo ESS Grande,,,,http://www.booking.com/,Share,Tamil Nadu,e6994ed7c1b5e2d75bb78f2fc3d605af,
"Above Dezire Showroom, 1st, Flr. Novagully, Varca, Salcette, Goa, 403721 Varca, India – Show map",varca,India,,,,,,,15.23621035,,73.94311398,,,F. D. Dezire,,,,2,One-Bedroom Apartment,Veeniola Holiday Home,,,,http://www.booking.com/,Share,Goa,1f4c2a8d31473c36de79b42423797b5f,
"A-35 San colony opp railway station small line., Civil Lines, 302006 Jaipur, India – This neighbourhood is a great choice for travellers interested in food, shopping for art, and city trips – Check location Show map",jaipur,India,,,,,,,26.90961061,,75.79060614,,,hotel bharat palace,,,,16,Deluxe Double Room (2 Adults + 1 Child),Khandela Paying Guesthouse|Hotel Kalyan|Vinayak Guest House,,,,http://www.booking.com/,Share,Rajasthan,3cca4cf4f301119ff9d0b37b2fffac40,Civil Lines
"TC 68/1883-1 Koprapura Road, Pachalloor Bye Pass, 695027 Tiruvallam, India – Show map",tiruvallam,India,,,,,,,8.427137365,,76.96108192,,,Oceana Homestay,,,,2,Deluxe Double Room,Vijaya Varma Beach Resort,,,,http://www.booking.com/,Share,Kerala,53c70a7191475b4dd3ebee2418479277,
,kāla,India,,,,,,,17.18615521,,74.13337111,,,,,,,,Deluxe Double Room,,,,,http://www.booking.com/,,Maharashtra,f18b864192f8c17fff40dbb31ec63989,
"Near White Meadows Resorts Prini, Manali Distt. Kullu (H.P.), 175131 Manāli, India – Show map",manāli,India,,,,,,,32.22145595,,77.19583422,,,Hotel Mountain Face,,,,28,Budget Double Room,Sparsh Resort|Pause at Manali|Hotel Mountain Trail Manali,,,,http://www.booking.com/,Share,Himachal Pradesh,44a4c02f67c9bc365d877ebb48f4fc42,
,kalpatta,India,,,,,,,11.59098919,,76.09284282,,,,,,,,Luxury Double Room,,,,,http://www.booking.com/,,Kerala,7e4a2856f82becb32edc3f09c766f2e1,
"Kuruppam Road, 680001 Trichūr, India – Show map",trichūr,India,,,,,,,10.52040225,,76.2137926,,,The Garuda Hotels,,,,50,Small Double Room,Bhasuri Inn Guruvayoor|Joys Palace Hotel|Srivar Hotels,,,,http://www.booking.com/,Share,Kerala,96674c558df82ab5e7a0c7cc601396c5,
"92 Barog, District Solan, National Highway, 173211 Solan, India – Show map",solan,India,,,,,,,30.88878834,,77.07588672,,,Ellays Dream Resort,,,,10,Standard Double Room,Snow Valley Resorts|Hotel Sai|Torrentium Lodge,,,,http://www.booking.com/,Share,Himachal Pradesh,052a4311d043161ded174db037e786c1,
"laxman sahay lane , station road, 823002 Gaya, India – Great location -",gaya,India,,,,,,,24.80299508,,85.00334526,,,Hotel Prem,,,,16,Deluxe Double Room (2 Adults + 1 Child),Bodhgaya Regency Hotel,,,,http://www.booking.com/,Share,Bihar,5f219d2be99d879a2468893517aa3695,
"# 32,12th cross, 1st Stage, Indiranagar, Indiranagar, 560038 Bangalore, India – This neighbourhood is a great choice for travellers interested in pubs, warm weather, and friendly people – Check location Great location -",bangalore,India,,,,,,,12.98188042,,77.63777174,,,Treebo Raj Premier,,,,1,Standard Double Room,My Fortune Bengaluru|Electric Cats Bed & Breakfast,,,,http://www.booking.com/,Share,Karnataka,0e00aee386fb72452700fe6c9bf33a08,Indiranagar
"Plot no 28,29 GKM street mahabalipuram, Kanchipuram district, chennai 603103, 603103 Mahabalipuram, India – Great location -",mahabalipuram,India,,,,,,,12.61153832,,80.18731669,,,Nirvana Boutique Hotel,,,,22,Deluxe Twin Room,Silver Moon Guest House|Rajalakshmi Guesthouse,,,,http://www.booking.com/,Share,Tamil Nadu,a0e4ef1ec0538da621cd0810122a7966,
"Ambala Road, 247001 Sahāranpur, India – Great location -",sahāranpur,India,,,,,,,29.96945693,,77.5315075,,,Hotel Royal Residency,,,,24,King Room,,,,,http://www.booking.com/,Share,Uttar Pradesh,935138f3f521d2280eeb20cc5339e3f0,
"Northend Cliff, Near Thiruvambadi Beach, Kurakkanni, 695141 Varkala, India – Show map",varkala,India,,,,,,,8.739408224,,76.69974357,,,Eco Bohemian Masala Art Cafe,,,,12,King Room,,,,,http://www.booking.com/,Share,Kerala,42c66d763e80038006bb01e6d068dcb0,
"Opp. Ao Baptist Church, Nongrimmaw, Arbuthnot Road, Laitumkhrah, 793011 Shillong, India – Show map",shillong,India,,,,,,,25.57313154,,91.90114975,,,Shaurya Apartments,,,,18,Deluxe King Studio,Sha Ri Loum|TRANQUIL INN Guesthouse,,,,http://www.booking.com/,Share,Meghalaya,ccd9758e24a9cb6441190d1187a989ff,
"33, gangaur ghat, 313001 Udaipur, India – Great location -",udaipur,India,,,,,,,24.57941971,,73.68223647,,,Hotel The Tiger,,,,21,Standard Double Room with Fan,Krishna Niwas|Sun Heritage Home,,,,http://www.booking.com/,Share,Rajasthan,4161efe8f7c1116265b3768e0cf125fa,
"Near Chungi Naka,Budha Pushkar Road,Pushkar - 305022,Ajmer (RAJ.), 305022 Pushkar, India – Show map",pushkar,India,,,,,,,26.49002472,,74.55345333,,,Hotel Dwarkadhish Palace,,,,10,Basic Triple Room with Shared Bathroom,Hotel White House,,,,http://www.booking.com/,Share,Rajasthan,76717ece1145f0d88681fb97413e6f08,
,nāthdwāra,India,,,,,,,24.91545262,,73.73137572,,,,,,,,Deluxe Queen Studio,,,,,http://www.booking.com/,,Rajasthan,21656b48893dcb8b15ee33b4b740982a,
,nāthdwāra,India,,,,,,,24.91545262,,73.73137572,,,,,,,,Deluxe Double Room (2 Adults + 1 Child),,,,,http://www.booking.com/,,Rajasthan,296b91c05fdf1b6f11e03dceaa3b1597,
"92 Barog, District Solan, National Highway, 173211 Solan, India – Show map",solan,India,,,,,,,30.88878834,,77.07588672,,,Ellays Dream Resort,,,,10,Standard Double Room,Snow Valley Resorts|Hotel Sai|Torrentium Lodge,,,,http://www.booking.com/,Share,Himachal Pradesh,74482a109b62ab9db7cb1712366e3433,
"Kovalam Road, 603104 Mahabalipuram, India – Show map",mahabalipuram,India,,,,,,,12.62510679,,80.19505042,,,Srinivasa Residency,,,,12,Deluxe Family Room,InterContinental Chennai Mahabalipuram Resort|Rajalakshmi Guesthouse|Silver Moon Guest House,,,,http://www.booking.com/,Share,Tamil Nadu,95aefdbfbd54786f3fec36cebc7006a8,
"Thottada Beach Road, Kizhunna, 670007 Kannur, India – Show map",,India,,,,,,,11.83262646,,75.40981293,,,Ivory Coaste,,,,12,Budget Double Room,Hotel Rainbow Suites,,,,http://www.booking.com/,Share,Kerala,007cee322359620aa57b56b4dc6fbf67,
"Iruttala, Pothamedu Bison Valley Road Munnar, Idukki, 685612 Munnar, India – Show map",munnar,India,,,,,,,10.04659485,,77.07810402,,,Madhumanthra Resort,,,,8,Honey Dew with balcony,Orchid Highlands,,,,http://www.booking.com/,Share,Kerala,dcb607702d1cc5f138d1d3dd9c9c5bea,
"2nd Tito's Lane, Baga, 403516 Baga, India – Show map",baga,India,,,,,,,15.55684454,,73.7537227,,,Hotel Rezos,,,,8,Deluxe Double or Twin Room,Country Inn & Suites By Carlson Goa Panjim|Zense Resort|Hotel Bonanza,,,,http://www.booking.com/,Share,Goa,009b3fe6d2a30570986c4b39663ef20d,
"Sun Acre Ketti-Palada Road, 643215 Ketti, India – Show map",ketti,India,,,,,,,11.36269936,,76.72899641,,,The Clive and Curzon,,,,16,Superior Queen Room,Hanging Huts Resorts|The Gateway Hotel Coonoor|Hill Country Lovedale,,,,http://www.booking.com/,Share,Tamil Nadu,9eba3f807fced0dd1f70cd96a4d3401a,
"Apt No. 2,Surya Sangolda Building, Chogm Road, Sangolda Porvorim Goa, 403521 Sangolda, India – Show map",sangolda,India,,,,,,,15.5436923,,73.8148444,,,Super Service Apartment,,,,6,One-Bedroom Apartment,Palmsntides,,,,http://www.booking.com/,Share,Goa,49ba7a4b966d5959f112566a46b604f9,
"#42/5, Central Street, Shivaji Nagar, 560001 Bangalore, India – Great location -",bangalore,India,,,,,,,12.98213099,,77.60331007,,,Hotel Select,,,,30,Superior Double Room,Treebo Royal 9 Hotel|Tom's Hotel,,,,http://www.booking.com/,Share,Karnataka,58bb53aed634d2a933ca1863d5d4c471,
"Akshara guest house 71,gangaur ghat,near bagore ki haveli museum Udaipur, rajasthan, 313001 Udaipur, India – Show map",udaipur,India,,,,,,,24.57966546,,73.68255883,,,Akshara guest house,,,,14,Small Double Room,Udai Haveli Guest House|Hotel Lake Paradise|Moustache Udaipur,,,,http://www.booking.com/,Share,Rajasthan,b579811037e2bad5cf85b16a366e7d0f,
"Durag Niwas Guesthouse,, 342001 Jodhpur, India – Show map",jodhpur,India,,,,,,,26.28748306,,73.03367782,,,Durag Niwas Guest House,,,,17,Superior Double Room,Kesar Heritage Guest House,,,,http://www.booking.com/,Share,Rajasthan,cbe608a69c580f53bee37a245246da01,
,gangtok,India,,,,,,,27.30386241,,88.58041406,,,,,,,,Deluxe Double Room,,,,,http://www.booking.com/,,Sikkim,12c34ee6aa4af39a46cdcd6f794f0954,
"Kamyakam, Arthunkal, 688530 Mararikulam, India – Show map",mararikulam,India,,,,,,,9.652296415,,76.2997672,,,Cassia Mansion,,,,23,Deluxe Double or Twin Room,Raheem Residency,,,,http://www.booking.com/,Share,Kerala,4773ee8cd04f1b658801e89fc3f1b1a8,
"Hee Bermiok Bazaar, Kaluk, District---Geyzing, 737113 Rinchingpong, India – Show map",rinchingpong,India,,,,,,,27.2532466,,88.27710986,,,Hotel Silent Valley,,,,9,Double Room,Hotel Norling,,,,http://www.booking.com/,Share,Sikkim,980446aaa313be2092d49b4f9e2baa9e,
"Kovalam Road, 603104 Mahabalipuram, India – Show map",mahabalipuram,India,,,,,,,12.62510679,,80.19505042,,,Srinivasa Residency,,,,12,Deluxe Family Room,InterContinental Chennai Mahabalipuram Resort|Rajalakshmi Guesthouse|Silver Moon Guest House,,,,http://www.booking.com/,Share,Tamil Nadu,fddb184250712a75408789d4109d322f,
"A152, Road No.4, Near IGI Airport, Mahipalpur,, Mahipalpur, 110037 New Delhi, India – This neighbourhood is a great choice for travellers interested in history, food, and culture – Check location Show map",new delhi,India,,,,,,,28.54944015,,77.12985766,,,Airport Hotel Aerotech,,,,22,Standard Double Room,Hotel Airport Land|Airport Hotel Marina|Hotel The Raj,,,,http://www.booking.com/,Share,Delhi NCR,6557890a7390f27375126a8f3a5517af,Mahipalpur
"Kempegowda International Airport Road,Opp Reliance Petrol Pump,Near Decathlon,Chikkajala, 562157 Yelahanka, India – Great location -",yelahanka,India,,,,,,,13.16320893,,77.63318449,,,Breeze Suites,,,,16,Standard Double Room,The Gateway Hotel Residency Road|Taj Bangalore,,,,http://www.booking.com/,Share,Karnataka,1801efb16b70fdf8511a1f73917fe5a5,
"Plot no 118/119,A block ,Street No 3 Mahipalpur, Mahipalpur, 110037 New Delhi, India – This neighbourhood is a great choice for travellers interested in history, food, and culture – Check location Show map",new delhi,India,,,,,,,28.54835808,,77.12754332,,,Airport Hotel Sunrise Moon,,,,12,Deluxe Double Room (2 Adults + 1 Child),"Airport RTS Hotel|Pride Plaza Hotel, Aerocity New Delhi|Meditation Palace",,,,http://www.booking.com/,Share,Delhi NCR,0ba6e198c5f2ef8652a390d4dc20cbd6,Mahipalpur
"Kempegowda International Airport Road,Opp Reliance Petrol Pump,Near Decathlon,Chikkajala, 562157 Yelahanka, India – Great location -",yelahanka,India,,,,,,,13.16320893,,77.63318449,,,Breeze Suites,,,,16,Standard Double Room,The Gateway Hotel Residency Road|Taj Bangalore,,,,http://www.booking.com/,Share,Karnataka,105d9383de28265d5e9e1fed1445e92c,
,candolim,India,,,,,,,15.52756803,,73.78263557,,,,,,,,Deluxe Double Room with Balcony,,,,,http://www.booking.com/,,Goa,da30cfbfdecf4288756ad529c40be62e,
"Danika Residency, RV03-PH02, Grande Vanelim, Colva, Goa, India, 403708 Colva, India – Show map",colva,India,,,,,,,15.27180724,,73.92993629,,,Rainbow Rentals (Danika Residency),,,,25,Deluxe Double Room with Bath,,,,,http://www.booking.com/,Share,Goa,578135596fa31c6fcd46991aeca746a0,
"76, Gangadheswarar Koil Street, Purasawalkam, 600084 Chennai, India – Great location -",chennai,India,,,,,,,13.08342625,,80.25442053,,,Hotel Raaj Bhaavan,,,,45,Budget Double or Twin Room,Hotel Pearl International|Central Guest house|The Mount City,,,,http://www.booking.com/,Share,Tamil Nadu,92b884d1769630a0c5b6bcf114f9665d,
"B-89 Agrasen Nagar, Boring Choraha, Jhotwara Behind Hanuman Vatika Marriage Garden, 302012 Jaipur, India – Show map",jaipur,India,,,,,,,26.94317191,,75.74565299,,,Vaishnav Bhawan,,,,3,Double Room,Atithi Guest House,,,,http://www.booking.com/,Share,Rajasthan,aaa80837d6f523402a35966504fd1672,
,sahāranpur,India,,,,,,,29.95610324,,77.6013279,,,,,,,,Deluxe Triple Room,,,,,http://www.booking.com/,,Uttar Pradesh,2920623c1a60c8186c003c474af314b2,
"Harish Premises Co-op. Society, 205/206, S. V. Road, Opp Andheri Railway Station, Andheri West, 400058 Mumbai, India – Show map",mumbai,India,,,,,,,19.12099469,,72.84447111,,,Hotel Midtown,,,,24,Standard Double Room,Hotel Artus Inn|Residency Hotel Fort|Backpacker Panda Appetite,,,,http://www.booking.com/,Share,Maharashtra,dd3c3807aa66225e1a28088d1664831e,
"6, Vidya Nagar, seven hills, Jalna Road, 431005 Chikalthān, India – Show map",chikalthān,India,,,,,,,19.87468892,,75.35385132,,,Angeethi Hotel,,,,27,Budget Double Room,Hotel Preetam Aurangabad,,,,http://www.booking.com/,Share,Maharashtra,f953736fca0114ec1d9385573b35c583,
"No.3, 4th Cross Road, 80 Feet Road, Green Leaf Layout, Behind Barista Coffee Bar Koramangala 4th Block, Karnataka 560095, Koramangala, 560034 Bangalore, India – This neighbourhood is a great choice for travellers interested in nightlife, pubs, and restaurants – Check location Show map",bangalore,India,,,,,,,12.93513572,,77.62946159,,,Maple Green Suites/Deluxe,,,,20,Classic Premium Double Room,Treebo Golden Pearl Koramangala|Luxtay Suites,,,,http://www.booking.com/,Share,Karnataka,e4c4ca1dfe5e1a3c1ec290d7235f0677,Koramangala
,alleppey,India,,,,,,,9.512550977,,76.36564627,,,,,,,,Superior Double Room with Balcony,,,,,http://www.booking.com/,,Kerala,f6d59668a9ec5fb3494f8a66ea4a77b5,
,shirdi,India,,,,,,,19.77636774,,74.48611164,,,,,,,,Deluxe Room,,,,,http://www.booking.com/,,Maharashtra,817dd47b947a4ef5c9515846c4dca12a,
,nāthdwāra,India,,,,,,,24.91545262,,73.73137572,,,,,,,,Deluxe Room,,,,,http://www.booking.com/,,Rajasthan,c2dfcb8e02fd266072646f23bcaff574,
"Ratheesh Bhavanam, Nenmeni, Munroe Island P.O, 691502 Munroe Island, India – Show map",munroe island,India,,,,,,,8.996654487,,76.61944306,,,Munroe Days Homestay,,,,6,Budget Double Room,Munroe Island Lake Resort,,,,http://www.booking.com/,Share,Kerala,e6885861c7bb2905f6d9fae962ff1ed7,
"Kavanattinkara, 686563 Kumarakom, India – Show map",kumarakom,India,,,,,,,9.632854358,,76.42356992,,,Amrutham Houseboat 2,,,,2,Mobile Home,Mandala Beach House & Cottages,,,,http://www.booking.com/,Share,Kerala,3a5423794185fea9488d324bf45a87ea,
